Date : 2024-05-28 11:58:46
Directory : c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\Scripts
Total : 1517 files,  -231848 codes, -43934 comments, -28434 blanks, all -304216 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_3.js                                 | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_4.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_4.js                                 | JavaScript |        -14 |          0 |         -1 |        -15 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_5.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_5.js                                 | JavaScript |         -7 |          0 |         -1 |         -8 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_6.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_6.js                                 | JavaScript |        -18 |          0 |         -1 |        -19 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_7.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_7.js                                 | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_8.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_8.js                                 | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_9.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_9.js                                 | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_a.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_a.js                                 | JavaScript |        -64 |          0 |         -1 |        -65 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_b.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_b.js                                 | JavaScript |         -8 |          0 |         -1 |         -9 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_c.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_c.js                                 | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_d.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_d.js                                 | JavaScript |         -7 |          0 |         -1 |         -8 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_e.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_e.js                                 | JavaScript |        -13 |          0 |         -1 |        -14 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_f.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\files_f.js                                 | JavaScript |        -10 |          0 |         -1 |        -11 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_0.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_0.js                             | JavaScript |        -31 |          0 |         -1 |        -32 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_1.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_1.js                             | JavaScript |        -20 |          0 |         -1 |        -21 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_10.html                          | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_10.js                            | JavaScript |        -30 |          0 |         -1 |        -31 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_11.html                          | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_11.js                            | JavaScript |        -20 |          0 |         -1 |        -21 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_12.html                          | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_12.js                            | JavaScript |        -52 |          0 |         -1 |        -53 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_13.html                          | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_13.js                            | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_14.html                          | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_14.js                            | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_15.html                          | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_15.js                            | JavaScript |         -7 |          0 |         -1 |         -8 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_16.html                          | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_16.js                            | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_2.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_2.js                             | JavaScript |        -42 |          0 |         -1 |        -43 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_3.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_3.js                             | JavaScript |        -24 |          0 |         -1 |        -25 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_4.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_4.js                             | JavaScript |        -55 |          0 |         -1 |        -56 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_5.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_5.js                             | JavaScript |        -51 |          0 |         -1 |        -52 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_6.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_6.js                             | JavaScript |         -9 |          0 |         -1 |        -10 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_7.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_7.js                             | JavaScript |         -7 |          0 |         -1 |         -8 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_8.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_8.js                             | JavaScript |        -31 |          0 |         -1 |        -32 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_9.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_9.js                             | JavaScript |        -28 |          0 |         -1 |        -29 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_a.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_a.js                             | JavaScript |        -36 |          0 |         -1 |        -37 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_b.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_b.js                             | JavaScript |        -10 |          0 |         -1 |        -11 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_c.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_c.js                             | JavaScript |        -24 |          0 |         -1 |        -25 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_d.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_d.js                             | JavaScript |        -83 |          0 |         -1 |        -84 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_e.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_e.js                             | JavaScript |        -19 |          0 |         -1 |        -20 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_f.html                           | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\functions_f.js                             | JavaScript |        -35 |          0 |         -1 |        -36 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_0.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_0.js                                | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_1.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_1.js                                | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_2.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_2.js                                | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_3.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_3.js                                | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_4.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_4.js                                | JavaScript |       -122 |          0 |         -1 |       -123 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_5.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_5.js                                | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_6.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_6.js                                | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_7.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_7.js                                | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_8.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_8.js                                | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_9.html                              | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\groups_9.js                                | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\nomatches.html                             | HTML       |        -12 |          0 |         -1 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\pages_0.html                               | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\pages_0.js                                 | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\search.css                                 | CSS        |       -220 |         -5 |        -47 |       -272 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\search.js                                  | JavaScript |       -688 |        -36 |        -68 |       -792 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\searchdata.js                              | JavaScript |        -27 |          0 |         -4 |        -31 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_0.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_0.js                              | JavaScript |       -179 |          0 |         -1 |       -180 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_1.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_1.js                              | JavaScript |        -22 |          0 |         -1 |        -23 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_2.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_2.js                              | JavaScript |        -37 |          0 |         -1 |        -38 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_3.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_3.js                              | JavaScript |        -78 |          0 |         -1 |        -79 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_4.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_4.js                              | JavaScript |       -188 |          0 |         -1 |       -189 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_5.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_5.js                              | JavaScript |        -61 |          0 |         -1 |        -62 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_6.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_6.js                              | JavaScript |       -188 |          0 |         -1 |       -189 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_7.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_7.js                              | JavaScript |       -200 |          0 |         -1 |       -201 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_8.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_8.js                              | JavaScript |       -179 |          0 |         -1 |       -180 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_9.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_9.js                              | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_a.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_a.js                              | JavaScript |        -12 |          0 |         -1 |        -13 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_b.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_b.js                              | JavaScript |        -47 |          0 |         -1 |        -48 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_c.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_c.js                              | JavaScript |         -7 |          0 |         -1 |         -8 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_d.html                            | HTML       |        -21 |         -5 |         -1 |        -27 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\search\typedefs_d.js                              | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\api\tabs.css                                          | CSS        |        -53 |          0 |         -8 |        -61 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\doc\theme\doxygen.css                                     | CSS        |     -1,214 |        -46 |       -237 |     -1,497 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\common.hpp                                            | C++        |        -97 |       -389 |        -54 |       -540 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\_features.hpp                                  | C++        |       -110 |       -185 |       -100 |       -395 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\_fixes.hpp                                     | C++        |        -16 |         -5 |         -7 |        -28 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\_noise.hpp                                     | C++        |        -67 |          0 |        -15 |        -82 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\_swizzle.hpp                                   | C++        |       -704 |        -55 |        -46 |       -805 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\_swizzle_func.hpp                              | C++        |       -648 |          0 |        -35 |       -683 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\_vectorize.hpp                                 | C++        |       -142 |          0 |        -21 |       -163 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\compute_common.hpp                             | C++        |        -43 |         -1 |         -7 |        -51 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\compute_vector_relational.hpp                  | C++        |        -16 |        -12 |         -3 |        -31 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_common.inl                                | C++        |       -638 |        -43 |       -112 |       -793 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_common_simd.inl                           | C++        |       -195 |        -14 |        -23 |       -232 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_exponential.inl                           | C++        |       -123 |         -9 |        -21 |       -153 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_exponential_simd.inl                      | C++        |        -30 |         -2 |         -6 |        -38 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_geometric.inl                             | C++        |       -197 |        -18 |        -34 |       -249 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_geometric_simd.inl                        | C++        |       -143 |         -2 |        -19 |       -164 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_integer.inl                               | C++        |       -308 |        -11 |        -54 |       -373 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_integer_simd.inl                          | C++        |        -52 |          0 |        -14 |        -66 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_matrix.inl                                | C++        |       -386 |          0 |        -58 |       -444 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_matrix_simd.inl                           | C++        |       -194 |        -24 |        -35 |       -253 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_packing.inl                               | C++        |       -144 |         -2 |        -44 |       -190 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_packing_simd.inl                          | C++        |         -5 |          0 |         -2 |         -7 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_trigonometric.inl                         | C++        |       -145 |        -14 |        -39 |       -198 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_trigonometric_simd.inl                    | C++        |          0 |          0 |         -1 |         -1 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_vector_relational.inl                     | C++        |        -78 |          0 |        -10 |        -88 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\func_vector_relational_simd.inl                | C++        |         -5 |          0 |         -2 |         -7 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\glm.cpp                                        | C++        |       -198 |        -17 |        -49 |       -264 |
| c:\Users\gabri\OneDrive\Desktop\Coding\MySpecialEngine\CPPEngine\glm-master\glm\detail\qualifier.hpp                                  | C++        |       -323 |         -1 |        -55 |       -379 |
